x,IvsV
0.08944,2.62209
0.19559,2.65351
0.30655,2.69121
0.40788,2.72263
0.51402,2.75719
0.62017,2.78546
0.72632,2.82002
0.8373,2.8483
0.94345,2.87658
1.05442,2.90799
1.1654,2.93313
1.27638,2.9614
1.39219,2.98654
1.50317,3.01167
1.61415,3.03681
1.72513,3.06194
1.84094,3.08393
1.95675,3.10592
2.06773,3.13106
2.18354,3.14991
2.29453,3.1719
2.41034,3.19389
2.52615,3.21274
2.64196,3.23473
2.75294,3.25673
2.86876,3.27558
2.98457,3.29443
3.10038,3.31642
3.20654,3.33527
3.32235,3.35726
3.42851,3.37611
3.5395,3.39496
3.65048,3.41381
3.75664,3.4358
3.86762,3.4578
3.97861,3.47665
